File,Date,Hour,Min,Sec,FNumber,ShutterSpeed,ISO,Elevation,Azimuth
A_1img,20140409,8,30,38,8,4,100,36,203
A_2img,20140409,8,30,38,8,4,100,36,214
A_3img,20140409,8,30,38,8,4,100,36,225
A_4img,20140409,8,30,38,8,4,100,36,247
A_5img,20140409,8,30,38,8,4,100,45,169
A_6img,20140409,8,30,38,8,4,100,45,180
A_7img,20140409,8,30,38,8,4,100,45,191
A_8img,20140409,8,30,38,8,4,100,45,203
A_9img,20140409,8,30,38,8,4,100,45,214
A_10img,20140409,8,30,38,8,4,100,45,225
A_11img,20140409,8,30,38,8,4,100,45,236
A_12img,20140409,8,30,38,8,4,100,45,247
A_13img,20140409,8,30,38,8,4,100,60,0
A_14img,20140409,8,30,38,8,4,100,60,11
A_15img,20140409,8,30,38,8,4,100,60,169
A_16img,20140409,8,30,38,8,4,100,60,203
A_17img,20140409,8,30,38,8,4,100,60,214
A_18img,20140409,8,30,38,8,4,100,60,225
A_19img,20140409,8,30,38,8,4,100,60,23
A_20img,20140422,10,54,11,8,4,100,45,180
A_21img,20140422,10,54,11,8,4,100,45,191
A_22img,20140422,10,54,11,8,4,100,45,225
A_23img,20140422,10,54,11,8,4,100,45,236
A_24img,20140422,10,54,11,8,4,100,45,247
A_25img,20140422,10,54,11,8,4,100,60,214
A_26img,20140422,10,54,11,8,4,100,60,225
A_27img,20140422,10,54,11,8,4,100,60,236
A_28img,20140422,10,54,11,8,4,100,60,247
A_29img,20140422,11,15,17,9,4,100,36,169
A_30img,20140422,11,15,17,9,4,100,36,180
A_31img,20140422,11,15,17,9,4,100,36,191
A_32img,20140422,11,15,17,9,4,100,36,203
A_33img,20140422,11,15,17,9,4,100,36,214
A_34img,20140422,11,15,17,9,4,100,36,225
A_35img,20140422,11,15,17,9,4,100,36,236
A_36img,20140422,11,15,17,9,4,100,36,247
A_37img,20140422,11,15,17,9,4,100,45,169
A_38img,20140422,11,15,17,9,4,100,45,180
A_39img,20140422,11,15,17,9,4,100,45,203
A_40img,20140422,11,15,17,9,4,100,45,225
A_41img,20140409,8,35,42,8,4,100,36,180
A_42img,20140409,8,35,42,8,4,100,36,191
A_43img,20140409,8,35,42,8,4,100,36,203
A_44img,20140409,8,35,42,8,4,100,36,214
A_45img,20140409,8,35,42,8,4,100,36,225
A_46img,20140409,8,35,42,8,4,100,45,180
A_47img,20140409,8,35,42,8,4,100,45,191
A_48img,20140409,8,35,42,8,4,100,45,203
A_49img,20140409,8,35,42,8,4,100,45,214
A_50img,20140409,8,35,42,8,4,100,45,225
A_51img,20140409,8,35,42,8,4,100,45,247
A_52img,20140409,8,35,42,8,4,100,60,158
A_53img,20140409,8,35,42,8,4,100,60,169
A_54img,20140409,8,35,42,8,4,100,60,180
A_55img,20140409,8,35,42,8,4,100,60,191
A_56img,20140409,8,35,42,8,4,100,60,203
A_57img,20140409,8,35,42,8,4,100,60,214
A_58img,20140409,8,35,42,8,4,100,60,225
A_59img,20140409,8,35,42,8,4,100,60,23
A_60img,20140409,8,35,42,8,4,100,60,236
A_61img,20140422,9,56,16,8,4,100,36,203
A_62img,20140422,9,56,16,8,4,100,36,225
A_63img,20140422,9,56,16,8,4,100,36,236
A_64img,20140422,9,56,16,8,4,100,45,191
A_65img,20140422,9,56,16,8,4,100,45,203
A_66img,20140422,9,56,16,8,4,100,45,214
A_67img,20140422,9,56,16,8,4,100,45,225
A_68img,20140422,9,56,16,8,4,100,45,236
A_69img,20140422,9,56,16,8,4,100,45,247
A_70img,20140422,9,56,16,8,4,100,60,158
A_71img,20140422,9,56,16,8,4,100,60,169
A_72img,20140422,9,56,16,8,4,100,60,180
A_73img,20140422,9,56,16,8,4,100,60,191
A_74img,20140422,9,56,16,8,4,100,60,203
A_75img,20140422,9,56,16,8,4,100,60,214
A_76img,20140422,9,56,16,8,4,100,60,225
A_77img,20140422,9,56,16,8,4,100,60,236
A_78img,20140422,9,56,16,8,4,100,60,247
