File,Date,Hour,Min,Sec,FNumber,ShutterSpeed,ISO,Elevation,Azimuth
B_1img,20131209,10,9,22,8,4,100,60,0
B_2img,20131209,10,9,22,8,4,100,60,11
B_3img,20131209,10,9,22,8,4,100,60,23
B_4img,20131209,10,9,22,8,4,100,60,255
B_5img,20131209,10,9,22,8,4,100,60,34
B_6img,20140521,9,41,38,8,4,100,45,169
B_7img,20140521,9,41,38,8,4,100,45,191
B_8img,20140521,9,41,38,8,4,100,45,203
B_9img,20140521,9,41,38,8,4,100,45,236
B_10img,20140521,9,41,38,8,4,100,60,203
B_11img,20140521,9,56,53,8,4,100,36,180
B_12img,20140521,9,56,53,8,4,100,36,191
B_13img,20140521,9,56,53,8,4,100,36,203
B_14img,20140521,9,56,53,8,4,100,36,214
B_15img,20140521,9,56,53,8,4,100,45,203
B_16img,20140521,9,56,53,8,4,100,45,225
B_17img,20140521,10,7,3,8,4,100,45,191
B_18img,20140521,10,7,3,8,4,100,45,203
B_19img,20140521,10,7,3,8,4,100,45,214
B_20img,20140521,10,7,3,8,4,100,45,225
B_21img,20140521,10,32,28,8,4,100,36,214
B_22img,20140521,10,32,28,8,4,100,36,225
B_23img,20140521,10,32,28,8,4,100,45,214
B_24img,20140521,10,32,28,8,4,100,45,225
B_25img,20140521,10,57,54,8,4,100,36,191
B_26img,20140521,10,57,54,8,4,100,36,203
B_27img,20140521,10,57,54,8,4,100,36,214
B_28img,20140521,10,57,54,8,4,100,36,225
B_29img,20140521,10,57,54,8,4,100,45,203
B_30img,20140521,10,57,54,8,4,100,45,214
B_31img,20140521,10,57,54,8,4,100,45,225
B_32img,20140521,11,8,5,9,4,100,36,191
B_33img,20140521,11,8,5,9,4,100,36,203
B_34img,20140521,11,8,5,9,4,100,36,214
B_35img,20140521,11,8,5,9,4,100,36,225
B_36img,20140521,11,8,5,9,4,100,45,180
B_37img,20140521,11,8,5,9,4,100,45,191
B_38img,20140521,11,8,5,9,4,100,45,203
B_39img,20140521,11,8,5,9,4,100,45,214
B_40img,20140521,11,8,5,9,4,100,45,225
B_41img,20131209,10,14,22,8,4,100,45,0
B_42img,20131209,10,14,22,8,4,100,45,11
B_43img,20131209,10,14,22,8,4,100,45,23
B_44img,20131209,10,14,22,8,4,100,45,34
B_45img,20131209,10,14,22,8,4,100,45,45
B_46img,20131209,10,14,22,8,4,100,45,56
B_47img,20131209,10,14,22,8,4,100,45,68
B_48img,20131209,10,14,22,8,4,100,60,0
B_49img,20131209,10,14,22,8,4,100,60,11
B_50img,20131209,10,14,22,8,4,100,60,23
B_51img,20131209,10,14,22,8,4,100,60,255
B_52img,20131209,10,14,22,8,4,100,60,34
B_53img,20131209,10,14,22,8,4,100,60,45
B_54img,20131209,10,14,22,8,4,100,60,56
B_55img,20131209,10,14,22,8,4,100,60,68
B_56img,20140521,9,51,48,8,4,100,45,236
B_57img,20140521,9,51,48,8,4,100,60,203
B_58img,20140521,9,51,48,8,4,100,60,214
B_59img,20140521,10,1,58,8,4,100,36,214
B_60img,20140521,10,1,58,8,4,100,36,225
B_61img,20140521,10,1,58,8,4,100,36,236
B_62img,20140521,10,1,58,8,4,100,45,203
B_63img,20140521,10,1,58,8,4,100,45,214
B_64img,20140521,10,1,58,8,4,100,45,225
B_65img,20140521,10,27,23,9,4,100,36,225
B_66img,20140521,10,27,23,9,4,100,36,236
B_67img,20140521,10,27,23,9,4,100,45,203
B_68img,20140521,10,27,23,9,4,100,45,214
B_69img,20140521,10,27,23,9,4,100,45,225
B_70img,20140521,10,52,49,9,4,100,36,203
B_71img,20140521,10,52,49,9,4,100,36,214
B_72img,20140521,10,52,49,9,4,100,36,225
B_73img,20140521,10,52,49,9,4,100,45,191
B_74img,20140521,10,52,49,9,4,100,45,203
B_75img,20140521,10,52,49,9,4,100,45,214
B_76img,20140521,10,52,49,9,4,100,45,225
B_77img,20140521,11,3,0,9,4,100,36,169
B_78img,20140521,11,3,0,9,4,100,36,180
B_79img,20140521,11,3,0,9,4,100,36,191
B_80img,20140521,11,3,0,9,4,100,36,203
B_81img,20140521,11,3,0,9,4,100,36,214
B_82img,20140521,11,3,0,9,4,100,36,225
B_83img,20140521,11,3,0,9,4,100,36,236
B_84img,20140521,11,3,0,9,4,100,45,169
B_85img,20140521,11,3,0,9,4,100,45,180
B_86img,20140521,11,3,0,9,4,100,45,191
B_87img,20140521,11,3,0,9,4,100,45,203
B_88img,20140521,11,3,0,9,4,100,45,214
B_89img,20140521,11,3,0,9,4,100,45,225
