File,Date,Hour,Min,Sec,FNumber,ShutterSpeed,ISO,Elevation,Azimuth
D_1img,20131004,12,32,0,9,1.25,200,36,113
D_2img,20131004,12,32,0,9,1.25,200,36,146
D_3img,20131004,12,32,0,9,1.25,200,45,101
D_4img,20131004,12,41,55,9,1.25,200,36,56
D_5img,20131004,12,41,55,9,1.25,200,45,0
D_6img,20131004,12,41,55,9,1.25,200,45,225
D_7img,20131004,12,41,55,9,1.25,200,45,255
D_8img,20131004,12,51,52,9,1.25,200,36,191
D_9img,20131004,12,51,52,9,1.25,200,36,203
D_10img,20131004,12,51,52,9,1.25,200,45,0
D_11img,20131004,12,51,52,9,1.25,200,45,11
D_12img,20140324,14,44,18,11,1.5625,200,45,214
D_13img,20140324,14,44,18,11,1.5625,200,45,225
D_14img,20140324,14,44,18,11,1.5625,200,60,225
D_15img,20140324,14,44,18,11,1.5625,200,60,236
D_16img,20140324,14,56,19,11,1.5625,200,36,158
D_17img,20140324,14,56,19,11,1.5625,200,36,236
D_18img,20140324,14,56,19,11,1.5625,200,36,247
D_19img,20140324,14,56,19,11,1.5625,200,36,56
D_20img,20140324,14,56,19,11,1.5625,200,36,79
D_21img,20140324,14,56,19,11,1.5625,200,45,11
D_22img,20140324,14,56,19,11,1.5625,200,45,203
D_23img,20140324,14,56,19,11,1.5625,200,45,56
D_24img,20140324,14,56,19,11,1.5625,200,60,113
D_25img,20140324,14,56,19,11,1.5625,200,60,124
D_26img,20140324,14,56,19,11,1.5625,200,60,135
D_27img,20140324,14,56,19,11,1.5625,200,60,214
D_28img,20140324,14,56,19,11,1.5625,200,60,45
D_29img,20140324,14,56,19,11,1.5625,200,60,56
D_30img,20140324,15,38,22,13,1.5625,200,36,113
D_31img,20140324,15,38,22,13,1.5625,200,36,124
D_32img,20140324,15,38,22,13,1.5625,200,36,146
D_33img,20140324,15,38,22,13,1.5625,200,45,11
D_34img,20140324,15,38,22,13,1.5625,200,45,158
D_35img,20140324,15,38,22,13,1.5625,200,45,23
D_36img,20140324,15,38,22,13,1.5625,200,45,236
D_37img,20140324,15,38,22,13,1.5625,200,45,255
D_38img,20140324,15,38,22,13,1.5625,200,45,34
D_39img,20140324,15,38,22,13,1.5625,200,60,113
D_40img,20140324,15,38,22,13,1.5625,200,60,124
D_41img,20131004,12,36,58,9,1.25,200,36,214
D_42img,20131004,12,36,58,9,1.25,200,36,45
D_43img,20131004,12,36,58,9,1.25,200,36,56
D_44img,20131004,12,36,58,9,1.25,200,45,101
D_45img,20131004,12,36,58,9,1.25,200,45,113
D_46img,20131004,12,36,58,9,1.25,200,45,23
D_47img,20131004,12,36,58,9,1.25,200,45,56
D_48img,20131004,12,46,53,9,1.25,200,36,0
D_49img,20131004,12,46,53,9,1.25,200,36,11
D_50img,20131004,12,46,53,9,1.25,200,36,255
D_51img,20131004,12,46,53,9,1.25,200,45,34
D_52img,20131004,12,56,50,9,1.25,200,36,0
D_53img,20131004,12,56,50,9,1.25,200,36,255
D_54img,20131004,12,56,50,9,1.25,200,45,225
D_55img,20131004,13,32,37,9,1.25,200,36,101
D_56img,20131004,13,32,37,9,1.25,200,36,214
D_57img,20131004,13,32,37,9,1.25,200,36,225
D_58img,20131004,13,32,37,9,1.25,200,36,23
D_59img,20131004,13,32,37,9,1.25,200,36,34
D_60img,20131004,13,32,37,9,1.25,200,36,45
D_61img,20131004,13,32,37,9,1.25,200,45,247
D_62img,20131022,11,34,18,9,1.25,200,36,11
D_63img,20131022,11,34,18,9,1.25,200,36,113
D_64img,20131022,11,34,18,9,1.25,200,36,124
D_65img,20131022,11,34,18,9,1.25,200,36,203
D_66img,20131022,11,34,18,9,1.25,200,36,214
D_67img,20131022,11,34,18,9,1.25,200,36,23
D_68img,20131022,11,34,18,9,1.25,200,36,247
D_69img,20131022,11,34,18,9,1.25,200,36,45
D_70img,20131022,11,34,18,9,1.25,200,36,56
D_71img,20131022,11,34,18,9,1.25,200,45,68
D_72img,20131022,11,34,18,9,1.25,200,60,23
D_73img,20131022,11,34,18,9,1.25,200,60,255
D_74img,20131022,11,44,18,9,1.25,200,36,34
D_75img,20131022,11,44,18,9,1.25,200,45,236
D_76img,20131022,11,44,18,9,1.25,200,45,34
D_77img,20131022,11,44,18,9,1.25,200,60,34
D_78img,20140324,14,38,17,11,1.5625,200,36,225
D_79img,20140324,14,38,17,11,1.5625,200,45,225
D_80img,20140324,14,38,17,11,1.5625,200,45,34
D_81img,20140324,14,38,17,11,1.5625,200,60,247
D_82img,20140324,14,50,18,11,1.5625,200,36,101
D_83img,20140324,14,50,18,11,1.5625,200,36,135
D_84img,20140324,14,50,18,11,1.5625,200,36,158
D_85img,20140324,14,50,18,11,1.5625,200,36,225
D_86img,20140324,14,50,18,11,1.5625,200,36,45
D_87img,20140324,14,50,18,11,1.5625,200,36,68
D_88img,20140324,14,50,18,11,1.5625,200,45,0
D_89img,20140324,14,50,18,11,1.5625,200,45,101
D_90img,20140324,14,50,18,11,1.5625,200,45,113
D_91img,20140324,14,50,18,11,1.5625,200,45,158
D_92img,20140324,14,50,18,11,1.5625,200,45,169
D_93img,20140324,14,50,18,11,1.5625,200,45,236
D_94img,20140324,14,50,18,11,1.5625,200,45,247
D_95img,20140324,14,50,18,11,1.5625,200,45,255
D_96img,20140324,14,50,18,11,1.5625,200,45,56
D_97img,20140324,14,50,18,11,1.5625,200,45,68
D_98img,20140324,14,50,18,11,1.5625,200,60,124
D_99img,20140324,14,50,18,11,1.5625,200,60,135
D_100img,20140324,14,50,18,11,1.5625,200,60,146
D_101img,20140324,14,50,18,11,1.5625,200,60,158
D_102img,20140324,14,50,18,11,1.5625,200,60,34
D_103img,20140324,14,50,18,11,1.5625,200,60,56
D_104img,20140324,15,2,18,13,1.5625,200,36,11
D_105img,20140324,15,2,18,13,1.5625,200,36,191
D_106img,20140324,15,2,18,13,1.5625,200,36,203
D_107img,20140324,15,2,18,13,1.5625,200,36,214
D_108img,20140324,15,2,18,13,1.5625,200,36,225
D_109img,20140324,15,2,18,13,1.5625,200,36,236
D_110img,20140324,15,2,18,13,1.5625,200,36,247
D_111img,20140324,15,2,18,13,1.5625,200,36,34
D_112img,20140324,15,2,18,13,1.5625,200,36,45
D_113img,20140324,15,2,18,13,1.5625,200,36,79
D_114img,20140324,15,2,18,13,1.5625,200,45,225
D_115img,20140324,15,2,18,13,1.5625,200,45,34
D_116img,20140324,15,2,18,13,1.5625,200,45,68
D_117img,20140324,15,2,18,13,1.5625,200,60,180
D_118img,20140324,15,2,18,13,1.5625,200,60,191
D_119img,20140324,15,2,18,13,1.5625,200,60,203
D_120img,20140324,15,2,18,13,1.5625,200,60,214
D_121img,20140324,15,2,18,13,1.5625,200,60,34
D_122img,20140324,15,2,18,13,1.5625,200,60,45
D_123img,20140324,15,2,18,13,1.5625,200,60,56
D_124img,20140324,15,44,21,13,1.5625,200,36,124
D_125img,20140324,15,44,21,13,1.5625,200,36,214
D_126img,20140324,15,44,21,13,1.5625,200,36,247
D_127img,20140324,15,44,21,13,1.5625,200,45,113
D_128img,20140324,15,44,21,13,1.5625,200,45,191
D_129img,20140324,15,44,21,13,1.5625,200,45,247
D_130img,20140324,15,44,21,13,1.5625,200,60,169
D_131img,20140324,15,44,21,13,1.5625,200,60,180
D_132img,20140324,15,44,21,13,1.5625,200,60,214
D_133img,20140324,15,44,21,13,1.5625,200,60,225
D_134img,20140324,15,44,21,13,1.5625,200,60,236
D_135img,20140324,15,44,21,13,1.5625,200,60,247
