File,Date,Hour,Min,Sec,FNumber,ShutterSpeed,ISO,Elevation,Azimuth
E_1img,20131004,14,43,27,9,1.25,200,36,225
E_2img,20131004,14,43,27,9,1.25,200,36,236
E_3img,20131004,14,43,27,9,1.25,200,36,247
E_4img,20131004,14,43,27,9,1.25,200,45,180
E_5img,20131004,14,43,27,9,1.25,200,45,191
E_6img,20131004,15,2,38,9,1.25,200,36,23
E_7img,20131004,15,2,38,9,1.25,200,36,247
E_8img,20131121,13,14,29,9,1.25,200,36,191
E_9img,20131121,13,14,29,9,1.25,200,45,146
E_10img,20131121,13,14,29,9,1.25,200,45,158
E_11img,20131121,13,14,29,9,1.25,200,45,169
E_12img,20131205,9,44,25,9,1.25,200,36,191
E_13img,20131205,9,44,25,9,1.25,200,36,236
E_14img,20131205,9,44,25,9,1.25,200,36,45
E_15img,20131205,9,44,25,9,1.25,200,36,56
E_16img,20131205,9,44,25,9,1.25,200,45,203
E_17img,20131205,10,4,25,9,1.25,200,45,0
E_18img,20131205,10,4,25,9,1.25,200,45,11
E_19img,20131205,10,4,25,9,1.25,200,45,23
E_20img,20131205,10,4,25,9,1.25,200,45,34
E_21img,20131205,10,4,25,9,1.25,200,45,45
E_22img,20131205,10,4,25,9,1.25,200,60,0
E_23img,20131205,10,4,25,9,1.25,200,60,34
E_24img,20131205,10,9,25,9,1.25,200,36,11
E_25img,20131205,10,9,25,9,1.25,200,36,23
E_26img,20131205,10,9,25,9,1.25,200,36,34
E_27img,20131205,10,9,25,9,1.25,200,45,11
E_28img,20131205,10,9,25,9,1.25,200,45,23
E_29img,20131205,10,9,25,9,1.25,200,45,255
E_30img,20131205,10,9,25,9,1.25,200,45,34
E_31img,20131211,9,43,48,9,1.25,200,45,0
E_32img,20131211,9,43,48,9,1.25,200,45,11
E_33img,20131211,9,43,48,9,1.25,200,45,23
E_34img,20131211,9,43,48,9,1.25,200,45,255
E_35img,20131211,9,43,48,9,1.25,200,60,0
E_36img,20131211,9,43,48,9,1.25,200,60,11
E_37img,20131211,9,43,48,9,1.25,200,60,23
E_38img,20131211,9,43,48,9,1.25,200,60,255
E_39img,20131211,9,43,48,9,1.25,200,60,34
E_40img,20131211,9,43,48,9,1.25,200,60,45
E_41img,20131004,14,47,38,9,1,200,36,169
E_42img,20131004,14,47,38,9,1,200,36,180
E_43img,20131004,14,47,38,9,1,200,36,236
E_44img,20131004,14,47,38,9,1,200,36,247
E_45img,20131004,14,47,38,9,1,200,36,34
E_46img,20131004,14,47,38,9,1,200,36,45
E_47img,20131004,14,47,38,9,1,200,36,68
E_48img,20131023,13,59,6,9,1,200,36,135
E_49img,20131023,13,59,6,9,1,200,36,146
E_50img,20131023,13,59,6,9,1,200,45,56
E_51img,20131023,13,59,6,9,1,200,60,255
E_52img,20131121,13,24,29,9,1.25,200,36,135
E_53img,20131121,13,24,29,9,1.25,200,36,146
E_54img,20131121,13,24,29,9,1.25,200,36,158
E_55img,20131121,13,24,29,9,1.25,200,36,203
E_56img,20131205,9,49,25,9,1.25,200,36,45
E_57img,20131205,9,49,25,9,1.25,200,36,56
E_58img,20131205,9,59,25,9,1.25,200,45,0
E_59img,20131205,9,59,25,9,1.25,200,45,11
E_60img,20131205,9,59,25,9,1.25,200,45,23
E_61img,20131205,9,59,25,9,1.25,200,45,255
E_62img,20131205,9,59,25,9,1.25,200,45,34
E_63img,20131205,9,59,25,9,1.25,200,45,45
E_64img,20131205,9,59,25,9,1.25,200,45,56
E_65img,20131205,9,59,25,9,1.25,200,45,68
E_66img,20131211,9,38,48,9,1.25,200,45,11
E_67img,20131211,9,38,48,9,1.25,200,60,0
E_68img,20131211,9,38,48,9,1.25,200,60,11
E_69img,20131211,9,38,48,9,1.25,200,60,23
E_70img,20131211,9,38,48,9,1.25,200,60,255
E_71img,20131211,9,38,48,9,1.25,200,60,34
E_72img,20131211,9,38,48,9,1.25,200,60,45
E_73img,20131211,9,48,48,9,1.25,200,45,0
E_74img,20131211,9,48,48,9,1.25,200,45,11
E_75img,20131211,9,48,48,9,1.25,200,45,23
E_76img,20131211,9,48,48,9,1.25,200,45,34
E_77img,20131211,9,48,48,9,1.25,200,45,45
E_78img,20131211,9,48,48,9,1.25,200,45,56
E_79img,20131211,9,48,48,9,1.25,200,60,0
E_80img,20131211,9,48,48,9,1.25,200,60,11
E_81img,20131211,9,48,48,9,1.25,200,60,23
E_82img,20131211,9,48,48,9,1.25,200,60,255
E_83img,20131211,9,48,48,9,1.25,200,60,34
E_84img,20131211,9,48,48,9,1.25,200,60,45
E_85img,20131211,9,48,48,9,1.25,200,60,56
