Number,Date,Time,Fnumber,ShutterSpeed,ISO,Elevation,Azimuth
0001,20131023,111406,9,1,200,36,247
0002,20131023,111406,9,1,200,45,0
0003,20131023,111406,9,1,200,45,11
0004,20131023,111406,9,1,200,45,180
0005,20131023,111406,9,1,200,45,191
0006,20131023,111406,9,1,200,45,214
0007,20131023,111406,9,1,200,45,23
0008,20131023,111406,9,1,200,45,236
0009,20131023,111406,9,1,200,45,255
0010,20131023,111406,9,1,200,45,34
0011,20131023,111406,9,1,200,45,45
0012,20131023,112406,9,1,200,45,0
0013,20131023,112406,9,1,200,45,11
0014,20131023,112406,9,1,200,45,158
0015,20131023,112406,9,1,200,45,23
0016,20131023,112406,9,1,200,45,255
0017,20131023,112406,9,1,200,45,34
0018,20131023,112406,9,1,200,45,45
0019,20131023,112406,9,1,200,45,56
0020,20131119,103411,9,3.1,100,45,0
0021,20131119,103411,9,3.1,100,45,11
0022,20131119,103411,9,3.1,100,45,23
0023,20131119,103411,9,3.1,100,45,255
0024,20131119,103411,9,3.1,100,45,34
0025,20131119,103411,9,3.1,100,45,56
0026,20131119,103411,9,3.1,100,45,68
0027,20131119,103411,9,3.1,100,45,79
0028,20131119,103411,9,3.1,100,60,0
0029,20131119,103411,9,3.1,100,60,11
0030,20131119,103411,9,3.1,100,60,23
0031,20131119,103411,9,3.1,100,60,34
0032,20131119,103411,9,3.1,100,60,45
0033,20131119,103411,9,3.1,100,60,68
0034,20131119,103411,9,3.1,100,60,79
0035,20131119,111411,8,3.1,100,45,0
0036,20131119,111411,8,3.1,100,45,11
0037,20131119,111411,8,3.1,100,45,23
0038,20131119,111411,8,3.1,100,45,255
0039,20131119,111411,8,3.1,100,45,56
0040,20131119,111411,8,3.1,100,45,68
0041,20131119,111411,8,3.1,100,45,79
0042,20131119,111411,8,3.1,100,60,0
0043,20131119,111411,8,3.1,100,60,11
0044,20131119,111411,8,3.1,100,60,255
0045,20131119,111411,8,3.1,100,60,56
0046,20131119,111911,8,3.1,100,45,0
0047,20131119,111911,8,3.1,100,45,11
0048,20131119,111911,8,3.1,100,45,23
0049,20131119,111911,8,3.1,100,45,255
0050,20131119,111911,8,3.1,100,45,34
0051,20131119,111911,8,3.1,100,45,45
0052,20131119,111911,8,3.1,100,45,56
0053,20131119,111911,8,3.1,100,45,68
0054,20131119,111911,8,3.1,100,45,79
0055,20131119,111911,8,3.1,100,60,0
0056,20131119,111911,8,3.1,100,60,11
0057,20131119,111911,8,3.1,100,60,23
0058,20131119,111911,8,3.1,100,60,255
0059,20131119,111911,8,3.1,100,60,34
0060,20131119,111911,8,3.1,100,60,45
0061,20131119,111911,8,3.1,100,60,56
0062,20131119,111911,8,3.1,100,60,68
0063,20131119,111911,8,3.1,100,60,79
0064,20140327,93443,9,3.1,100,36,180
0065,20140327,93443,9,3.1,100,36,191
0066,20140327,93443,9,3.1,100,36,203
0067,20140327,93443,9,3.1,100,36,214
0068,20140327,93443,9,3.1,100,36,225
0069,20140327,93443,9,3.1,100,36,236
0070,20140327,93443,9,3.1,100,36,247
0071,20140327,93443,9,3.1,100,45,169
0072,20140327,93443,9,3.1,100,45,180
0073,20140327,93443,9,3.1,100,45,191
0074,20140327,93443,9,3.1,100,45,203
0075,20140327,93443,9,3.1,100,45,225
0076,20140327,93443,9,3.1,100,45,236
0077,20140327,93443,9,3.1,100,60,169
0078,20140327,93443,9,3.1,100,60,180
0079,20140327,93443,9,3.1,100,60,191
0080,20140327,93443,9,3.1,100,60,203
0081,20140327,124632,9,3.1,100,36,11
0082,20140327,124632,9,3.1,100,36,113
0083,20140327,124632,9,3.1,100,36,124
0084,20140327,124632,9,3.1,100,36,135
0085,20140327,124632,9,3.1,100,36,146
0086,20140327,124632,9,3.1,100,36,191
0087,20140327,124632,9,3.1,100,36,203
0088,20140327,124632,9,3.1,100,36,214
0089,20140327,124632,9,3.1,100,36,225
0090,20140327,124632,9,3.1,100,36,23
0091,20140327,124632,9,3.1,100,36,236
0092,20140327,124632,9,3.1,100,36,247
0093,20140327,124632,9,3.1,100,36,34
0094,20140327,124632,9,3.1,100,36,45
0095,20140327,124632,9,3.1,100,36,56
0096,20140327,124632,9,3.1,100,45,124
0097,20140327,124632,9,3.1,100,45,135
0098,20140327,124632,9,3.1,100,45,146
0099,20140327,124632,9,3.1,100,45,158
0100,20140327,124632,9,3.1,100,45,169
0101,20140327,124632,9,3.1,100,45,180
0102,20140327,124632,9,3.1,100,45,191
