Number 	 Date 	 Time 	 Fnumber 	 Exposure Time [in s] 	 ISO 
1 	 20160110 	 012003 	 2.8000 	 30.0000 	 100.0000 
2 	 20160110 	 012403 	 2.8000 	 30.0000 	 100.0000 
3 	 20160110 	 024203 	 2.8000 	 30.0000 	 100.0000 
4 	 20160110 	 030403 	 2.8000 	 30.0000 	 100.0000 
5 	 20160110 	 041602 	 2.8000 	 30.0000 	 100.0000 
6 	 20160113 	 014402 	 2.8000 	 30.0000 	 100.0000 
7 	 20160114 	 010003 	 2.8000 	 30.0000 	 100.0000 
8 	 20160114 	 011203 	 2.8000 	 30.0000 	 100.0000 
9 	 20160118 	 012402 	 2.8000 	 30.0000 	 100.0000 
10 	 20160118 	 013203 	 2.8000 	 20.0000 	 100.0000 
11 	 20160122 	 023602 	 2.8000 	 25.0000 	 100.0000 
12 	 20160122 	 024403 	 2.8000 	 25.0000 	 100.0000 
13 	 20160125 	 032803 	 2.8000 	 15.0000 	 100.0000 
14 	 20160127 	 202603 	 2.8000 	 30.0000 	 100.0000 
15 	 20160127 	 211003 	 2.8000 	 30.0000 	 100.0000 
16 	 20160127 	 214802 	 2.8000 	 20.0000 	 100.0000 
17 	 20160131 	 010003 	 2.8000 	 30.0000 	 100.0000 
18 	 20160131 	 011202 	 2.8000 	 30.0000 	 100.0000 
19 	 20160131 	 025403 	 2.8000 	 30.0000 	 100.0000 
20 	 20160204 	 011003 	 2.8000 	 25.0000 	 100.0000 
21 	 20160204 	 011802 	 2.8000 	 30.0000 	 100.0000 
22 	 20160214 	 010003 	 2.8000 	 25.0000 	 100.0000 
23 	 20160214 	 031002 	 2.8000 	 30.0000 	 100.0000 
24 	 20160214 	 033202 	 2.8000 	 30.0000 	 100.0000 
25 	 20160214 	 035802 	 2.8000 	 30.0000 	 100.0000 
26 	 20160222 	 042402 	 2.8000 	 25.0000 	 100.0000 
27 	 20160222 	 200403 	 2.8000 	 20.0000 	 100.0000 
28 	 20160222 	 222403 	 2.8000 	 13.0000 	 100.0000 
29 	 20160313 	 010605 	 2.8000 	 1.0000 	 3200.0000 
30 	 20160313 	 013805 	 2.8000 	 1.3000 	 3200.0000 
31 	 20160313 	 045802 	 2.8000 	 1.0000 	 3200.0000 
32 	 20160315 	 200203 	 2.8000 	 0.8000 	 3200.0000 
33 	 20160317 	 035004 	 2.8000 	 0.8000 	 3200.0000 
34 	 20160325 	 023404 	 2.8000 	 0.5000 	 3200.0000 
35 	 20160325 	 033803 	 2.8000 	 0.5000 	 3200.0000 
36 	 20160429 	 034004 	 2.8000 	 6.0000 	 400.0000 
37 	 20160429 	 035404 	 2.8000 	 6.0000 	 400.0000 
38 	 20160506 	 021403 	 2.8000 	 6.0000 	 400.0000 
39 	 20160506 	 022802 	 2.8000 	 8.0000 	 400.0000 
40 	 20160506 	 032402 	 2.8000 	 10.0000 	 400.0000 
41 	 20160510 	 013604 	 2.8000 	 6.0000 	 400.0000 
42 	 20160510 	 014205 	 2.8000 	 6.0000 	 400.0000 
43 	 20160510 	 015604 	 2.8000 	 6.0000 	 400.0000 
44 	 20160510 	 020204 	 2.8000 	 6.0000 	 400.0000 
45 	 20160510 	 021004 	 2.8000 	 8.0000 	 400.0000 
46 	 20160510 	 024004 	 2.8000 	 6.0000 	 400.0000 
47 	 20160510 	 024604 	 2.8000 	 6.0000 	 400.0000 
48 	 20160510 	 030204 	 2.8000 	 6.0000 	 400.0000 
49 	 20160510 	 031604 	 2.8000 	 6.0000 	 400.0000 
50 	 20160520 	 015003 	 2.8000 	 6.0000 	 400.0000 
51 	 20160520 	 015603 	 2.8000 	 6.0000 	 400.0000 
52 	 20160520 	 033604 	 2.8000 	 8.0000 	 400.0000 
53 	 20160520 	 034004 	 2.8000 	 8.0000 	 400.0000 
54 	 20160520 	 035003 	 2.8000 	 6.0000 	 400.0000 
55 	 20160524 	 211604 	 2.8000 	 4.0000 	 400.0000 
56 	 20160527 	 021604 	 2.8000 	 6.0000 	 400.0000 
57 	 20160527 	 024804 	 2.8000 	 5.0000 	 400.0000 
58 	 20160527 	 200206 	 2.8000 	 8.0000 	 400.0000 
59 	 20160527 	 201205 	 2.8000 	 8.0000 	 400.0000 
60 	 20160528 	 213803 	 2.8000 	 6.0000 	 400.0000 
61 	 20160528 	 214403 	 2.8000 	 6.0000 	 400.0000 
62 	 20160528 	 215204 	 2.8000 	 6.0000 	 400.0000 
63 	 20160528 	 220203 	 2.8000 	 5.0000 	 400.0000 
64 	 20160528 	 220604 	 2.8000 	 5.0000 	 400.0000 
65 	 20160528 	 221203 	 2.8000 	 5.0000 	 400.0000 
66 	 20160528 	 222604 	 2.8000 	 5.0000 	 400.0000 
67 	 20160528 	 223603 	 2.8000 	 6.0000 	 400.0000 
68 	 20160528 	 224203 	 2.8000 	 8.0000 	 400.0000 
69 	 20160528 	 225004 	 2.8000 	 8.0000 	 400.0000 
70 	 20160528 	 230604 	 2.8000 	 8.0000 	 400.0000 
71 	 20160528 	 231003 	 2.8000 	 8.0000 	 400.0000 
72 	 20160528 	 231204 	 2.8000 	 8.0000 	 400.0000 
73 	 20160528 	 231804 	 2.8000 	 6.0000 	 400.0000 
74 	 20160528 	 232804 	 2.8000 	 6.0000 	 400.0000 
75 	 20160528 	 233404 	 2.8000 	 6.0000 	 400.0000 
76 	 20160528 	 233804 	 2.8000 	 5.0000 	 400.0000 
77 	 20160528 	 234404 	 2.8000 	 5.0000 	 400.0000 
78 	 20160528 	 234804 	 2.8000 	 5.0000 	 400.0000 
79 	 20160603 	 032604 	 2.8000 	 8.0000 	 400.0000 
80 	 20160603 	 033204 	 2.8000 	 8.0000 	 400.0000 
81 	 20160615 	 013604 	 2.8000 	 6.0000 	 400.0000 
82 	 20160615 	 021004 	 2.8000 	 8.0000 	 400.0000 
83 	 20160615 	 022603 	 2.8000 	 8.0000 	 400.0000 
84 	 20160615 	 024604 	 2.8000 	 6.0000 	 400.0000 
85 	 20160615 	 030404 	 2.8000 	 6.0000 	 400.0000 
86 	 20160615 	 030804 	 2.8000 	 6.0000 	 400.0000 
87 	 20160615 	 032604 	 2.8000 	 5.0000 	 400.0000 
88 	 20160615 	 035404 	 2.8000 	 6.0000 	 400.0000 
89 	 20160708 	 014403 	 2.8000 	 10.0000 	 400.0000 
90 	 20160708 	 023803 	 2.8000 	 10.0000 	 400.0000 
91 	 20160708 	 024804 	 2.8000 	 8.0000 	 400.0000 
92 	 20160830 	 023807 	 2.8000 	 3.2000 	 800.0000 
93 	 20160830 	 024806 	 2.8000 	 3.2000 	 800.0000 
94 	 20160927 	 031004 	 2.8000 	 5.0000 	 800.0000 
95 	 20161006 	 035804 	 2.8000 	 2.5000 	 800.0000 
96 	 20161009 	 023203 	 2.8000 	 4.0000 	 800.0000 
97 	 20161012 	 020204 	 2.8000 	 5.0000 	 800.0000 
98 	 20161012 	 034004 	 2.8000 	 4.0000 	 800.0000 
99 	 20161012 	 034603 	 2.8000 	 4.0000 	 800.0000 
100 	 20161013 	 013603 	 2.8000 	 3.2000 	 800.0000 
101 	 20161014 	 032404 	 2.8000 	 3.2000 	 800.0000 
102 	 20161020 	 035004 	 2.8000 	 2.5000 	 800.0000 
103 	 20161021 	 030804 	 2.8000 	 2.5000 	 800.0000 
104 	 20161021 	 032205 	 2.8000 	 2.5000 	 800.0000 
105 	 20161021 	 033004 	 2.8000 	 2.5000 	 800.0000 
106 	 20161103 	 010403 	 2.8000 	 4.0000 	 800.0000 
107 	 20161103 	 025404 	 2.8000 	 4.0000 	 800.0000 
108 	 20161103 	 025804 	 2.8000 	 4.0000 	 800.0000 
109 	 20161103 	 031603 	 2.8000 	 5.0000 	 800.0000 
110 	 20161104 	 021204 	 2.8000 	 3.2000 	 800.0000 
111 	 20161120 	 202203 	 2.8000 	 3.2000 	 800.0000 
112 	 20161120 	 202803 	 2.8000 	 3.2000 	 800.0000 
113 	 20161120 	 235804 	 2.8000 	 4.0000 	 800.0000 
114 	 20161208 	 011201 	 2.8000 	 4.0000 	 800.0000 
115 	 20161208 	 033201 	 2.8000 	 4.0000 	 800.0000 
